id_passenger,passenger_firstname,passenger_lastname,passenger_class,passenger_age,passenger_ticket_number,passenger_gender,ports_id,passenger_fare,survived,numberofsiblings,numberofparentchildren,home_destination
16,Baxter," Mr. Quigg Edmond",First,24,"PC 17558",Male,2,247.5208,0,0,1,"Montreal, PQ"
17,Baxter," Mrs. James (Helene DeLaudeniere Chaput)",First,50,"PC 17558",Female,2,247.5208,1,0,1,"Montreal, PQ"
18,Bazzani," Miss. Albina",First,32,11813,Female,2,76.2917,1,0,0,
19,Beattie," Mr. Thomson",First,36,13050,Male,2,75.2417,0,0,0,"Winnipeg, MN"
20,Beckwith," Mr. Richard Leonard",First,37,11751,Male,1,52.5542,1,1,1,"New York, NY"
21,Beckwith," Mrs. Richard Leonard (Sallie Monypeny)",First,47,11751,Female,1,52.5542,1,1,1,"New York, NY"
22,Behr," Mr. Karl Howell",First,26,111369,Male,2,30,1,0,0,"New York, NY"
23,Bidois," Miss. Rosalie",First,42,"PC 17757",Female,2,227.525,1,0,0,
24,Bird," Miss. Ellen",First,29,"PC 17483",Female,1,221.7792,1,0,0,
25,Birnbaum," Mr. Jakob",First,25,13905,Male,2,26,0,0,0,"San Francisco, CA"
26,Bishop," Mr. Dickinson H",First,25,11967,Male,2,91.0792,1,1,0,"Dowagiac, MI"
27,Bishop," Mrs. Dickinson H (Helen Walton)",First,19,11967,Female,2,91.0792,1,1,0,"Dowagiac, MI"
28,Bissette," Miss. Amelia",First,35,"PC 17760",Female,1,135.6333,1,0,0,
29,Bjornstrom-Steffansson," Mr. Mauritz Hakan",First,28,110564,Male,1,26.55,1,0,0,"Stockholm, Sweden / Washington, DC"
30,Blackwell," Mr. Stephen Weart",First,45,113784,Male,1,35.5,0,0,0,"Trenton, NJ"
31,Blank," Mr. Henry",First,40,112277,Male,2,31,1,0,0,"Glen Ridge, NJ"
32,Bonnell," Miss. Caroline",First,30,36928,Female,1,164.8667,1,0,0,"Youngstown, OH"
33,Bonnell," Miss. Elizabeth",First,58,113783,Female,1,26.55,1,0,0,"Birkdale, England Cleveland, Ohio"
34,Borebank," Mr. John James",First,42,110489,Male,1,26.55,0,0,0,"London / Winnipeg, MB"
35,Bowen," Miss. Grace Scott",First,45,"PC 17608",Female,2,262.375,1,0,0,"Cooperstown, NY"
36,Bowerman," Miss. Elsie Edith",First,22,113505,Female,1,55,1,0,1,"St Leonards-on-Sea, England Ohio"
37,Bradley," Mr. George ("George Arthur Brayton")",First,,111427,Male,1,26.55,1,0,0,"Los Angeles, CA"
38,Brady," Mr. John Bertram",First,41,113054,Male,1,30.5,0,0,0,"Pomeroy, WA"
39,Brandeis," Mr. Emil",First,48,"PC 17591",Male,2,50.4958,0,0,0,"Omaha, NE"
40,Brewe," Dr. Arthur Jackson",First,,112379,Male,2,39.6,0,0,0,"Philadelphia, PA"
41,Brown," Mrs. James Joseph (Margaret Tobin)",First,44,"PC 17610",Female,2,27.7208,1,0,0,"Denver, CO"
42,Brown," Mrs. John Murray (Caroline Lane Lamson)",First,59,11769,Female,1,51.4792,1,2,0,"Belmont, MA"
43,Bucknell," Mrs. William Robert (Emma Eliza Ward)",First,60,11813,Female,2,76.2917,1,0,0,"Philadelphia, PA"
44,Burns," Miss. Elizabeth Margaret",First,41,16966,Female,2,134.5,1,0,0,
45,Butt," Major. Archibald Willingham",First,45,113050,Male,1,26.55,0,0,0,"Washington, DC"
46,Cairns," Mr. Alexander",First,,113798,Male,1,31,0,0,0,
47,Calderhead," Mr. Edward Pennington",First,42,"PC 17476",Male,1,26.2875,1,0,0,"New York, NY"
48,Candee," Mrs. Edward (Helen Churchill Hungerford)",First,53,"PC 17606",Female,2,27.4458,1,0,0,"Washington, DC"
49,Cardeza," Mr. Thomas Drake Martinez",First,36,"PC 17755",Male,2,512.3292,1,0,1,"Austria-Hungary / Germantown, Philadelphia, PA"
50,Cardeza," Mrs. James Warburton Martinez (Charlotte Wardle Drake)",First,58,"PC 17755",Female,2,512.3292,1,0,1,"Germantown, Philadelphia, PA"
51,Carlsson," Mr. Frans Olof",First,33,695,Male,1,5,0,0,0,"New York, NY"
52,Carrau," Mr. Francisco M",First,28,113059,Male,1,47.1,0,0,0,"Montevideo, Uruguay"
53,Carrau," Mr. Jose Pedro",First,17,113059,Male,1,47.1,0,0,0,"Montevideo, Uruguay"
54,Carter," Master. William Thornton II",First,11,113760,Male,1,120,1,1,2,"Bryn Mawr, PA"
55,Carter," Miss. Lucile Polk",First,14,113760,Female,1,120,1,1,2,"Bryn Mawr, PA"
56,Carter," Mr. William Ernest",First,36,113760,Male,1,120,1,1,2,"Bryn Mawr, PA"
57,Carter," Mrs. William Ernest (Lucile Polk)",First,36,113760,Female,1,120,1,1,2,"Bryn Mawr, PA"
58,Case," Mr. Howard Brown",First,49,19924,Male,1,26,0,0,0,"Ascot, Berkshire / Rochester, NY"
59,Cassebeer," Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)",First,,17770,Female,2,27.7208,1,0,0,"New York, NY"
60,Cavendish," Mr. Tyrell William",First,36,19877,Male,1,78.85,0,1,0,"Little Onn Hall, Staffs"
61,Cavendish," Mrs. Tyrell William (Julia Florence Siegel)",First,76,19877,Female,1,78.85,1,1,0,"Little Onn Hall, Staffs"
62,Chaffee," Mr. Herbert Fuller",First,46,"W.E.P. 5734",Male,1,61.175,0,1,0,"Amenia, ND"
63,Chaffee," Mrs. Herbert Fuller (Carrie Constance Toogood)",First,47,"W.E.P. 5734",Female,1,61.175,1,1,0,"Amenia, ND"
64,Chambers," Mr. Norman Campbell",First,27,113806,Male,1,53.1,1,1,0,"New York, NY / Ithaca, NY"
65,Chambers," Mrs. Norman Campbell (Bertha Griggs)",First,33,113806,Female,1,53.1,1,1,0,"New York, NY / Ithaca, NY"
66,Chaudanson," Miss. Victorine",First,36,"PC 17608",Female,2,262.375,1,0,0,
67,Cherry," Miss. Gladys",First,30,110152,Female,1,86.5,1,0,0,"London, England"
68,Chevre," Mr. Paul Romaine",First,45,"PC 17594",Male,2,29.7,1,0,0,"Paris, France"
69,Chibnall," Mrs. (Edith Martha Bowerman)",First,,113505,Female,1,55,1,0,1,"St Leonards-on-Sea, England Ohio"
70,Chisholm," Mr. Roderick Robert Crispin",First,,112051,Male,1,0,0,0,0,"Liverpool, England / Belfast"
71,Clark," Mr. Walter Miller",First,27,13508,Male,2,136.7792,0,1,0,"Los Angeles, CA"
72,Clark," Mrs. Walter Miller (Virginia McDowell)",First,26,13508,Female,2,136.7792,1,1,0,"Los Angeles, CA"
73,Cleaver," Miss. Alice",First,22,113781,Female,1,151.55,1,0,0,
74,Clifford," Mr. George Quincy",First,,110465,Male,1,52,0,0,0,"Stoughton, MA"
75,Colley," Mr. Edward Pomeroy",First,47,5727,Male,1,25.5875,0,0,0,"Victoria, BC"
76,Compton," Miss. Sara Rebecca",First,39,"PC 17756",Female,2,83.1583,1,1,1,"Lakewood, NJ"
77,Compton," Mr. Alexander Taylor Jr",First,37,"PC 17756",Male,2,83.1583,0,1,1,"Lakewood, NJ"
78,Compton," Mrs. Alexander Taylor (Mary Eliza Ingersoll)",First,64,"PC 17756",Female,2,83.1583,1,0,2,"Lakewood, NJ"
79,Cornell," Mrs. Robert Clifford (Malvina Helen Lamson)",First,55,11770,Female,1,25.7,1,2,0,"New York, NY"
80,Crafton," Mr. John Bertram",First,,113791,Male,1,26.55,0,0,0,"Roachdale, IN"
81,Crosby," Capt. Edward Gifford",First,70,"WE/P 5735",Male,1,71,0,1,1,"Milwaukee, WI"
82,Crosby," Miss. Harriet R",First,36,"WE/P 5735",Female,1,71,1,0,2,"Milwaukee, WI"
83,Crosby," Mrs. Edward Gifford (Catherine Elizabeth Halstead)",First,64,112901,Female,1,26.55,1,1,1,"Milwaukee, WI"
84,Cumings," Mr. John Bradley",First,39,"PC 17599",Male,2,71.2833,0,1,0,"New York, NY"
85,Cumings," Mrs. John Bradley (Florence Briggs Thayer)",First,38,"PC 17599",Female,2,71.2833,1,1,0,"New York, NY"
86,Daly," Mr. Peter Denis ",First,51,113055,Male,1,26.55,1,0,0,"Lima, Peru"
87,Daniel," Mr. Robert Williams",First,27,113804,Male,1,30.5,1,0,0,"Philadelphia, PA"
88,Daniels," Miss. Sarah",First,33,113781,Female,1,151.55,1,0,0,
89,Davidson," Mr. Thornton",First,31,"F.C. 12750",Male,1,52,0,1,0,"Montreal, PQ"
90,Davidson," Mrs. Thornton (Orian Hays)",First,27,"F.C. 12750",Female,1,52,1,1,2,"Montreal, PQ"
91,Dick," Mr. Albert Adrian",First,31,17474,Male,1,57,1,1,0,"Calgary, AB"
92,Dick," Mrs. Albert Adrian (Vera Gillespie)",First,17,17474,Female,1,57,1,1,0,"Calgary, AB"
93,Dodge," Dr. Washington",First,53,33638,Male,1,81.8583,1,1,1,"San Francisco, CA"
94,Dodge," Master. Washington",First,4,33638,Male,1,81.8583,1,0,2,"San Francisco, CA"
95,Dodge," Mrs. Washington (Ruth Vidaver)",First,54,33638,Female,1,81.8583,1,1,1,"San Francisco, CA"
96,Douglas," Mr. Walter Donald",First,50,"PC 17761",Male,2,106.425,0,1,0,"Deephaven, MN / Cedar Rapids, IA"
97,Douglas," Mrs. Frederick Charles (Mary Helene Baxter)",First,27,"PC 17558",Female,2,247.5208,1,1,1,"Montreal, PQ"
98,Douglas," Mrs. Walter Donald (Mahala Dutton)",First,48,"PC 17761",Female,2,106.425,1,1,0,"Deephaven, MN / Cedar Rapids, IA"
99,"Duff Gordon"," Lady. (Lucille Christiana Sutherland) ("Mrs Morgan")",First,48,11755,Female,2,39.6,1,1,0,"London / Paris"
100,"Duff Gordon"," Sir. Cosmo Edmund ("Mr Morgan")",First,49,"PC 17485",Male,2,56.9292,1,1,0,"London / Paris"
101,Dulles," Mr. William Crothers",First,39,"PC 17580",Male,2,29.7,0,0,0,"Philadelphia, PA"
102,Earnshaw," Mrs. Boulton (Olive Potter)",First,23,11767,Female,2,83.1583,1,0,1,"Mt Airy, Philadelphia, PA"
103,Endres," Miss. Caroline Louise",First,38,"PC 17757",Female,2,227.525,1,0,0,"New York, NY"
104,Eustis," Miss. Elizabeth Mussey",First,54,36947,Female,2,78.2667,1,1,0,"Brookline, MA"
105,Evans," Miss. Edith Corse",First,36,"PC 17531",Female,2,31.6792,0,0,0,"New York, NY"
106,Farthing," Mr. John",First,,"PC 17483",Male,1,221.7792,0,0,0,
107,Flegenheim," Mrs. Alfred (Antoinette)",First,,"PC 17598",Female,1,31.6833,1,0,0,"New York, NY"
108,Fleming," Miss. Margaret",First,,17421,Female,2,110.8833,1,0,0,
109,Flynn," Mr. John Irwin ("Irving")",First,36,"PC 17474",Male,1,26.3875,1,0,0,"Brooklyn, NY"
110,Foreman," Mr. Benjamin Laventall",First,30,113051,Male,2,27.75,0,0,0,"New York, NY"
111,Fortune," Miss. Alice Elizabeth",First,24,19950,Female,1,263,1,3,2,"Winnipeg, MB"
112,Fortune," Miss. Ethel Flora",First,28,19950,Female,1,263,1,3,2,"Winnipeg, MB"
113,Fortune," Miss. Mabel Helen",First,23,19950,Female,1,263,1,3,2,"Winnipeg, MB"
114,Fortune," Mr. Charles Alexander",First,19,19950,Male,1,263,0,3,2,"Winnipeg, MB"
115,Fortune," Mr. Mark",First,64,19950,Male,1,263,0,1,4,"Winnipeg, MB"
116,Fortune," Mrs. Mark (Mary McDougald)",First,60,19950,Female,1,263,1,1,4,"Winnipeg, MB"
117,Francatelli," Miss. Laura Mabel",First,30,"PC 17485",Female,2,56.9292,1,0,0,
118,Franklin," Mr. Thomas Parham",First,,113778,Male,1,26.55,0,0,0,"Westcliff-on-Sea, Essex"
119,Frauenthal," Dr. Henry William",First,50,"PC 17611",Male,1,133.65,1,2,0,"New York, NY"
120,Frauenthal," Mr. Isaac Gerald",First,43,17765,Male,2,27.7208,1,1,0,"New York, NY"
121,Frauenthal," Mrs. Henry William (Clara Heinsheimer)",First,,"PC 17611",Female,1,133.65,1,1,0,"New York, NY"
122,Frolicher," Miss. Hedwig Margaritha",First,22,13568,Female,2,49.5,1,0,2,"Zurich, Switzerland"
123,Frolicher-Stehli," Mr. Maxmillian",First,60,13567,Male,2,79.2,1,1,1,"Zurich, Switzerland"
124,Frolicher-Stehli," Mrs. Maxmillian (Margaretha Emerentia Stehli)",First,48,13567,Female,2,79.2,1,1,1,"Zurich, Switzerland"
125,Fry," Mr. Richard",First,,112058,Male,1,0,0,0,0,
126,Futrelle," Mr. Jacques Heath",First,37,113803,Male,1,53.1,0,1,0,"Scituate, MA"
127,Futrelle," Mrs. Jacques Heath (Lily May Peel)",First,35,113803,Female,1,53.1,1,1,0,"Scituate, MA"
128,Gee," Mr. Arthur H",First,47,111320,Male,1,38.5,0,0,0,"St Anne's-on-Sea, Lancashire"
129,Geiger," Miss. Amalie",First,35,113503,Female,2,211.5,1,0,0,
130,Gibson," Miss. Dorothy Winifred",First,22,112378,Female,2,59.4,1,0,1,"New York, NY"
131,Gibson," Mrs. Leonard (Pauline C Boeson)",First,45,112378,Female,2,59.4,1,0,1,"New York, NY"
132,Giglio," Mr. Victor",First,24,"PC 17593",Male,2,79.2,0,0,0,
133,Goldenberg," Mr. Samuel L",First,49,17453,Male,2,89.1042,1,1,0,"Paris, France / New York, NY"
134,Goldenberg," Mrs. Samuel L (Edwiga Grabowska)",First,,17453,Female,2,89.1042,1,1,0,"Paris, France / New York, NY"
135,Goldschmidt," Mr. George B",First,71,"PC 17754",Male,2,34.6542,0,0,0,"New York, NY"
136,Gracie," Col. Archibald IV",First,53,113780,Male,2,28.5,1,0,0,"Washington, DC"
137,Graham," Miss. Margaret Edith",First,19,112053,Female,1,30,1,0,0,"Greenwich, CT"
138,Graham," Mr. George Edward",First,38,"PC 17582",Male,1,153.4625,0,0,1,"Winnipeg, MB"
139,Graham," Mrs. William Thompson (Edith Junkins)",First,58,"PC 17582",Female,1,153.4625,1,0,1,"Greenwich, CT"
140,Greenfield," Mr. William Bertram",First,23,"PC 17759",Male,2,63.3583,1,0,1,"New York, NY"
141,Greenfield," Mrs. Leo David (Blanche Strouse)",First,45,"PC 17759",Female,2,63.3583,1,0,1,"New York, NY"
142,Guggenheim," Mr. Benjamin",First,46,"PC 17593",Male,2,79.2,0,0,0,"New York, NY"
143,Harder," Mr. George Achilles",First,25,11765,Male,2,55.4417,1,1,0,"Brooklyn, NY"
144,Harder," Mrs. George Achilles (Dorothy Annan)",First,25,11765,Female,2,55.4417,1,1,0,"Brooklyn, NY"
145,Harper," Mr. Henry Sleeper",First,48,"PC 17572",Male,2,76.7292,1,1,0,"New York, NY"
146,Harper," Mrs. Henry Sleeper (Myna Haxtun)",First,49,"PC 17572",Female,2,76.7292,1,1,0,"New York, NY"
147,Harrington," Mr. Charles H",First,,113796,Male,1,42.4,0,0,0,
148,Harris," Mr. Henry Birkhardt",First,45,36973,Male,1,83.475,0,1,0,"New York, NY"
149,Harris," Mrs. Henry Birkhardt (Irene Wallach)",First,35,36973,Female,1,83.475,1,1,0,"New York, NY"
150,Harrison," Mr. William",First,40,112059,Male,1,0,0,0,0,
151,Hassab," Mr. Hammad",First,27,"PC 17572",Male,2,76.7292,1,0,0,
152,Hawksford," Mr. Walter James",First,,16988,Male,1,30,1,0,0,"Kingston, Surrey"
153,Hays," Miss. Margaret Bechstein",First,24,11767,Female,2,83.1583,1,0,0,"New York, NY"
154,Hays," Mr. Charles Melville",First,55,12749,Male,1,93.5,0,1,1,"Montreal, PQ"
155,Hays," Mrs. Charles Melville (Clara Jennings Gregg)",First,52,12749,Female,1,93.5,1,1,1,"Montreal, PQ"
156,Head," Mr. Christopher",First,42,113038,Male,1,42.5,0,0,0,"London / Middlesex"
157,Hilliard," Mr. Herbert Henry",First,,17463,Male,1,51.8625,0,0,0,"Brighton, MA"
158,Hipkins," Mr. William Edward",First,55,680,Male,1,50,0,0,0,"London / Birmingham"
159,Hippach," Miss. Jean Gertrude",First,16,111361,Female,2,57.9792,1,0,1,"Chicago, IL"
160,Hippach," Mrs. Louis Albert (Ida Sophia Fischer)",First,44,111361,Female,2,57.9792,1,0,1,"Chicago, IL"
161,Hogeboom," Mrs. John C (Anna Andrews)",First,51,13502,Female,1,77.9583,1,1,0,"Hudson, NY"
162,Holverson," Mr. Alexander Oskar",First,42,113789,Male,1,52,0,1,0,"New York, NY"
163,Holverson," Mrs. Alexander Oskar (Mary Aline Towner)",First,35,113789,Female,1,52,1,1,0,"New York, NY"
164,Homer," Mr. Harry ("Mr E Haven")",First,35,111426,Male,2,26.55,1,0,0,"Indianapolis, IN"
165,Hoyt," Mr. Frederick Maxfield",First,38,19943,Male,1,90,1,1,0,"New York, NY /  Stamford CT"
166,Hoyt," Mr. William Fisher",First,,"PC 17600",Male,2,30.6958,0,0,0,"New York, NY"
167,Hoyt," Mrs. Frederick Maxfield (Jane Anne Forby)",First,35,19943,Female,1,90,1,1,0,"New York, NY /  Stamford CT"
168,Icard," Miss. Amelie",First,38,113572,Female,,80,1,0,0,
169,Isham," Miss. Ann Elizabeth",First,50,"PC 17595",Female,2,28.7125,0,0,0,"Paris, France New York, NY"
170,Ismay," Mr. Joseph Bruce",First,49,112058,Male,1,0,1,0,0,Liverpool
171,Jones," Mr. Charles Cresson",First,46,694,Male,1,26,0,0,0,"Bennington, VT"
172,Julian," Mr. Henry Forbes",First,50,113044,Male,1,26,0,0,0,London
173,Keeping," Mr. Edwin",First,32.5,113503,Male,2,211.5,0,0,0,
174,Kent," Mr. Edward Austin",First,58,11771,Male,2,29.7,0,0,0,"Buffalo, NY"
175,Kenyon," Mr. Frederick R",First,41,17464,Male,1,51.8625,0,1,0,"Southington / Noank, CT"
176,Kenyon," Mrs. Frederick R (Marion)",First,,17464,Female,1,51.8625,1,1,0,"Southington / Noank, CT"
177,Kimball," Mr. Edwin Nelson Jr",First,42,11753,Male,1,52.5542,1,1,0,"Boston, MA"
178,Kimball," Mrs. Edwin Nelson Jr (Gertrude Parsons)",First,45,11753,Female,1,52.5542,1,1,0,"Boston, MA"
179,Klaber," Mr. Herman",First,,113028,Male,1,26.55,0,0,0,"Portland, OR"
180,Kreuchen," Miss. Emilie",First,39,24160,Female,1,211.3375,1,0,0,
181,Leader," Dr. Alice (Farnham)",First,49,17465,Female,1,25.9292,1,0,0,"New York, NY"
182,LeRoy," Miss. Bertha",First,30,"PC 17761",Female,2,106.425,1,0,0,
183,Lesurer," Mr. Gustave J",First,35,"PC 17755",Male,2,512.3292,1,0,0,
184,Lewy," Mr. Ervin G",First,,"PC 17612",Male,2,27.7208,0,0,0,"Chicago, IL"
185,Lindeberg-Lind," Mr. Erik Gustaf ("Mr Edward Lingrey")",First,42,17475,Male,1,26.55,0,0,0,"Stockholm, Sweden"
186,Lindstrom," Mrs. Carl Johan (Sigrid Posse)",First,55,112377,Female,2,27.7208,1,0,0,"Stockholm, Sweden"
187,Lines," Miss. Mary Conover",First,16,"PC 17592",Female,1,39.4,1,0,1,"Paris, France"
188,Lines," Mrs. Ernest H (Elizabeth Lindsey James)",First,51,"PC 17592",Female,1,39.4,1,0,1,"Paris, France"
189,Long," Mr. Milton Clyde",First,29,113501,Male,1,30,0,0,0,"Springfield, MA"
190,Longley," Miss. Gretchen Fiske",First,21,13502,Female,1,77.9583,1,0,0,"Hudson, NY"
191,Loring," Mr. Joseph Holland",First,30,113801,Male,1,45.5,0,0,0,"London / New York, NY"
192,Lurette," Miss. Elise",First,58,"PC 17569",Female,2,146.5208,1,0,0,
193,Madill," Miss. Georgette Alexandra",First,15,24160,Female,1,211.3375,1,0,1,"St Louis, MO"
194,Maguire," Mr. John Edward",First,30,110469,Male,1,26,0,0,0,"Brockton, MA"
195,Maioni," Miss. Roberta",First,16,110152,Female,1,86.5,1,0,0,
196,Marechal," Mr. Pierre",First,,11774,Male,2,29.7,1,0,0,"Paris, France"
197,Marvin," Mr. Daniel Warner",First,19,113773,Male,1,53.1,0,1,0,"New York, NY"
198,Marvin," Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",First,18,113773,Female,1,53.1,1,1,0,"New York, NY"
199,Mayne," Mlle. Berthe Antonine ("Mrs de Villiers")",First,24,"PC 17482",Female,2,49.5042,1,0,0,"Belgium  Montreal, PQ"
200,McCaffry," Mr. Thomas Francis",First,46,13050,Male,2,75.2417,0,0,0,"Vancouver, BC"
201,McCarthy," Mr. Timothy J",First,54,17463,Male,1,51.8625,0,0,0,"Dorchester, MA"
202,McGough," Mr. James Robert",First,36,"PC 17473",Male,1,26.2875,1,0,0,"Philadelphia, PA"
203,Meyer," Mr. Edgar Joseph",First,28,"PC 17604",Male,2,82.1708,0,1,0,"New York, NY"
204,Meyer," Mrs. Edgar Joseph (Leila Saks)",First,,"PC 17604",Female,2,82.1708,1,1,0,"New York, NY"
205,Millet," Mr. Francis Davis",First,65,13509,Male,1,26.55,0,0,0,"East Bridgewater, MA"
206,Minahan," Dr. William Edward",First,44,19928,Male,3,90,0,2,0,"Fond du Lac, WI"
207,Minahan," Miss. Daisy E",First,33,19928,Female,3,90,1,1,0,"Green Bay, WI"
208,Minahan," Mrs. William Edward (Lillian E Thorpe)",First,37,19928,Female,3,90,1,1,0,"Fond du Lac, WI"
209,Mock," Mr. Philipp Edmund",First,30,13236,Male,2,57.75,1,1,0,"New York, NY"
210,Molson," Mr. Harry Markland",First,55,113787,Male,1,30.5,0,0,0,"Montreal, PQ"
211,Moore," Mr. Clarence Bloomfield",First,47,113796,Male,1,42.4,0,0,0,"Washington, DC"
212,Natsch," Mr. Charles H",First,37,"PC 17596",Male,2,29.7,0,0,1,"Brooklyn, NY"
213,Newell," Miss. Madeleine",First,31,35273,Female,2,113.275,1,1,0,"Lexington, MA"
214,Newell," Miss. Marjorie",First,23,35273,Female,2,113.275,1,1,0,"Lexington, MA"
215,Newell," Mr. Arthur Webster",First,58,35273,Male,2,113.275,0,0,2,"Lexington, MA"
216,Newsom," Miss. Helen Monypeny",First,19,11752,Female,1,26.2833,1,0,2,"New York, NY"
217,Nicholson," Mr. Arthur Ernest",First,64,693,Male,1,26,0,0,0,"Isle of Wight, England"
218,"Oliva y Ocana"," Dona. Fermina",First,39,"PC 17758",Female,2,108.9,1,0,0,
219,Omont," Mr. Alfred Fernand",First,,"F.C. 12998",Male,2,25.7417,1,0,0,"Paris, France"
220,Ostby," Miss. Helene Ragnhild",First,22,113509,Female,2,61.9792,1,0,1,"Providence, RI"
221,Ostby," Mr. Engelhart Cornelius",First,65,113509,Male,2,61.9792,0,0,1,"Providence, RI"
222,"Ovies y Rodriguez"," Mr. Servando",First,28.5,"PC 17562",Male,2,27.7208,0,0,0,"?Havana, Cuba"
223,Parr," Mr. William Henry Marsh",First,,112052,Male,1,0,0,0,0,Belfast
224,Partner," Mr. Austen",First,45.5,113043,Male,1,28.5,0,0,0,"Surbiton Hill, Surrey"
225,Payne," Mr. Vivian Ponsonby",First,23,12749,Male,1,93.5,0,0,0,"Montreal, PQ"
226,Pears," Mr. Thomas Clinton",First,29,113776,Male,1,66.6,0,1,0,"Isleworth, England"
227,Pears," Mrs. Thomas (Edith Wearne)",First,22,113776,Female,1,66.6,1,1,0,"Isleworth, England"
228,"Penasco y Castellana"," Mr. Victor de Satode",First,18,"PC 17758",Male,2,108.9,0,1,0,"Madrid, Spain"
229,"Penasco y Castellana"," Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",First,17,"PC 17758",Female,2,108.9,1,1,0,"Madrid, Spain"
230,Perreault," Miss. Anne",First,30,12749,Female,1,93.5,1,0,0,
231,Peuchen," Major. Arthur Godfrey",First,52,113786,Male,1,30.5,1,0,0,"Toronto, ON"
232,Porter," Mr. Walter Chamberlain",First,47,110465,Male,1,52,0,0,0,"Worcester, MA"
233,Potter," Mrs. Thomas Jr (Lily Alexenia Wilson)",First,56,11767,Female,2,83.1583,1,0,1,"Mt Airy, Philadelphia, PA"
234,Reuchlin," Jonkheer. John George",First,38,19972,Male,1,0,0,0,0,"Rotterdam, Netherlands"
235,Rheims," Mr. George Alexander Lucien",First,,"PC 17607",Male,1,39.6,1,0,0,"Paris /  New York, NY"
236,Ringhini," Mr. Sante",First,22,"PC 17760",Male,2,135.6333,0,0,0,
237,Robbins," Mr. Victor",First,,"PC 17757",Male,2,227.525,0,0,0,
238,Robert," Mrs. Edward Scott (Elisabeth Walton McMillan)",First,43,24160,Female,1,211.3375,1,0,1,"St Louis, MO"
239,Roebling," Mr. Washington Augustus II",First,31,"PC 17590",Male,1,50.4958,0,0,0,"Trenton, NJ"
240,Romaine," Mr. Charles Hallace ("Mr C Rolmane")",First,45,111428,Male,1,26.55,1,0,0,"New York, NY"
241,Rood," Mr. Hugh Roscoe",First,,113767,Male,1,50,0,0,0,"Seattle, WA"
242,Rosenbaum," Miss. Edith Louise",First,33,"PC 17613",Female,2,27.7208,1,0,0,"Paris, France"
243,Rosenshine," Mr. George ("Mr George Thorne")",First,46,"PC 17585",Male,2,79.2,0,0,0,"New York, NY"
244,Ross," Mr. John Hugo",First,36,13049,Male,2,40.125,0,0,0,"Winnipeg, MB"
245,Rothes," the Countess. of (Lucy Noel Martha Dyer-Edwards)",First,33,110152,Female,1,86.5,1,0,0,"London  Vancouver, BC"
246,Rothschild," Mr. Martin",First,55,"PC 17603",Male,2,59.4,0,1,0,"New York, NY"
247,Rothschild," Mrs. Martin (Elizabeth L. Barrett)",First,54,"PC 17603",Female,2,59.4,1,1,0,"New York, NY"
248,Rowe," Mr. Alfred G",First,33,113790,Male,1,26.55,0,0,0,London
249,Ryerson," Master. John Borie",First,13,"PC 17608",Male,2,262.375,1,2,2,"Haverford, PA / Cooperstown, NY"
250,Ryerson," Miss. Emily Borie",First,18,"PC 17608",Female,2,262.375,1,2,2,"Haverford, PA / Cooperstown, NY"
